Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
1441 N Elk Grove Ave APT 3S,,Sold,Apartment,247500,12/16/18,2,1,,Y,100,1893
1735 W Julian St #1,,Sold,Condo,572000,11/08/18,3,3,No Data,Y,143,2007
2115 W Crystal St APT 3,,Sold,Condo,470000,05/02/19,2,2,,N,279,2002
1910 W Division St,,Sold,Vacant Land,N/A,02/25/20,3,N/A,N/A,N,N/A,1979
1736 W Le Moyne St #1,,Sold,Condo,730000,04/14/20,3,3,2100,Y,88,2009
1521 N Paulina St APT 1F,,Sold,Condo,345000,10/02/19,3,2,1750,N,N/A,2004
1400 N Milwaukee Ave APT 204,,Sold,Condo,340000,08/04/20,2,1,1100,Y,386,1886
1549 N Bell Ave #2R,,Sold,Condo,212000,08/27/20,1,1,No Data,N,195,Data
1911 W Crystal St #1,,Sold,Condo,649000,06/12/19,3,3,2400,N,254,2002
1530 N Wood St,,Sold,Condo,630000,07/04/18,3,3,2400,Y,200,2005
1406 N Paulina St,,Sold,Townhouse,1010000,10/22/19,4,4,4300,Y,N/A,Data
1524 N Hoyne Ave,,Sold,Multiple Occupancy,1100000,01/30/20,,--,,N,N/A,1890
1441 N Wicker Park Ave UNIT 4S,,Sold,Condo,425000,07/19/20,2,2,1600,Y,175,2004
2140 W Potomac Ave #3,,Sold,Condo,435000,05/29/18,2,2,No Data,Y,153,1891
2013 W Evergreen Ave #1,,Sold,Condo,559000,09/30/18,,--,,N,338,1903
2142 W Division St APT 2,,Sold,Condo,495000,08/18/19,3,2,1700,Y,203,2004
1259 N Wood St APT 401,,Sold,Condo,515000,08/12/20,2,2,1330,Y,356,1909
1320 N Oakley Blvd,,Sold,Single Family,1050000,08/14/18,4,3.,,Y,N/A,1894
1921 W Evergreen Ave,,Sold,Multiple Occupancy,1045000,09/16/18,2,1,1000,N,N/A,1885
2301 W North Ave #2F,,Sold,Condo,385000,10/02/19,2,2,1100,N,396,1920
1434 N Wood St,,Sold,Apartment,320000,09/29/19,2,2,,N,N/A,2002
2118 W Schiller St APT CH,,Sold,Condo,575000,06/19/19,3,3,1513,N,239,1935
2031 W Evergreen Ave APT 2W,,Sold,Condo,420000,05/14/19,2,2,No Data,Y,147,1997
1925 W Schiller St,,Sold,Single Family,1875000,01/13/19,,3.,,N,N/A,1895
1919 W Crystal St APT 205,,Sold,Condo,625000,10/27/19,2,2,1725,Y,336,2009
1740 W Beach Ave,,Sold,Multiple Occupancy,600000,06/30/19,3,2,1100,N,N/A,1900
1517 N Paulina St APT 3R,,Sold,Condo,350000,11/11/19,2,2,1300,N,264,Data
1225 N Paulina St #3S,,Sold,Multiple Occupancy,3950,01/17/19,3,3.,,Y,N/A,2004
1550 N Oakley Blvd #2-3,,Sold,Condo,690000,04/08/20,3,3,2400,Y,370,Data
1646 W Beach Ave,,Sold,Single Family,717500,07/21/19,3,4,2800,Y,N/A,1991
2032 W Pierce Ave APT 3E,,Sold,Apartment,3300,06/16/18,3,2,,N,N/A,Data
1461 N Paulina St #1F,,Sold,Townhouse,585000,02/02/20,3,3,2100,Y,1150,2002
1238 N Wolcott Ave #1,,Sold,Multiple Occupancy,1900,06/01/18,2,1,,N,N/A,Data
1739 W Julian St,,Sold,Single Family,549000,05/28/19,3,1,800,Y,N/A,1888
1344 N Wolcott Ave #3,,Sold,Condo,555000,06/07/20,3,2,1800,Y,210,2001
1550 N Hoyne Ave APT 1A,,Sold,Condo,400000,08/30/18,2,3,1650,Y,232,1999
1725 W Pierce Ave #1,,Sold,Condo,641000,06/06/18,3,3,2100,N,150,2005
1350 N Claremont Ave APT 2,,Sold,Condo,474900,04/30/20,2,2,No Data,Y,155,2019
2042 W. Pierce #3,,Sold,Apartment,3200,02/26/19,3,2,1600,N,N/A,Data
1632 W Blackhawk St #2,,Sold,Condo,376000,09/24/19,3,3,1600,Y,200,1876
1940 W Potomac Ave,,Sold,Single Family,1400000,05/21/20,4,4,3792,Y,N/A,1992
1429 N Paulina St APT C,,Sold,Single Family,520000,12/20/18,3,2.,,N,N/A,1996
1714 W Le Moyne St #2,,Sold,Condo,415000,09/11/18,2,--,,Y,187,1995
1843 W North Ave APT 2W,,Sold,Condo,499850,08/29/19,2,2,No Data,N,293,2007
1267 N Honore St APT 2,,Sold,Condo,309000,01/15/19,2,1.,,Y,140,1995
1849 W North Ave #3,,Sold,Single Family,500000,09/09/19,3,3,No Data,N,35,2000
1217 N Hoyne Ave,,Sold,Townhouse,610000,12/10/19,3,3,2273,N,976,2002
1547 N Honore St #3,,Sold,Condo,640000,08/17/20,3,2,1750,Y,200,1999
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
