Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
1514 N Paulina St,,Sold,Single Family,1100000,06/13/19,4,4,3800,Y,N/A,1993
2031 W Pierce Ave APT 3B,,Sold,Condo,500000,09/13/18,,--,,N,250,2000
2051 W Evergreen Ave,,Sold,Single Family,1975000,12/06/19,5,5,4777,Y,N/A,1891
1406 N Bell Ave,,Sold,Single Family,815000,06/30/20,4,4,1850,Y,N/A,1889
1438 N Elk Grove Ave,,Sold,Single Family,1345000,04/15/20,4,4,3625,Y,235,2008
2118 W Schiller St APT G,,Sold,Condo,372500,05/19/19,3,2,1400,N,185,1897
1222 N Wolcott Ave APT 1S,,Sold,Condo,434000,05/22/19,2,2,1390,Y,225,1998
2122 W Crystal St #3W,,Sold,Condo,774000,01/17/20,3,2,No Data,Y,200,2019
1255 N Marion Ct,,Sold,Single Family,570000,02/14/19,3,3,2000,Y,N/A,1875
1722 W Le Moyne St #1,,Sold,Multi Family,606500,06/25/18,3,2.,,Y,N/A,2005
1528 N Ashland Ave #2R,,Sold,Multi Family,1475,07/25/20,2,1,,N,N/A,1899
1725 W North Ave SUITE 203,,Sold,Condo,293000,06/05/18,1,1,1100,Y,282,1917
1736 W Crystal St,,Sold,Multi Family,670000,04/07/20,5,2,No Data,Y,N/A,1881
1915 W Crystal St #3,,Sold,Condo,595000,07/17/20,2,2,1200,Y,120,2007
1719 W Beach Ave,,Sold,Single Family,1225000,08/02/18,4,4,No Data,Y,N/A,Data
1213 N Paulina St,,Sold,Single Family,872500,04/23/19,3,4,3000,Y,N/A,1885
1266 N Wood St #1,,Sold,Condo,475000,06/06/18,3,2,2000,Y,200,1997
1625 W North Ave APT 202,,Sold,Condo,485000,03/18/20,3,2,,Y,292,2004
1727 W Ellen St,,Sold,Single Family,1300000,08/17/20,4,4,3400,Y,N/A,2015
2136 W Crystal St APT 1,,Sold,Condo,473500,09/23/18,3,3,2400,N,222,1998
2017 W Evergreen Ave APT 103,,Sold,Condo,405000,02/17/20,2,2,No Data,Y,248,2001
1625 W North Ave #1,,Sold,Condo,600000,05/06/19,,--,,N,318,2004
1965 W Evergreen Ave,,Sold,Single Family,2090000,12/20/19,5,5,6000,Y,N/A,1885
1248 N Wood St,,Sold,Multi Family,850000,03/13/20,7,3,No Data,Y,N/A,1892
1250 N Wolcott Ave #1,,Sold,Condo,495000,10/11/18,2,2,2200,Y,150,1997
1259 N Wood St APT 404,,Sold,Condo,567500,09/09/18,3,2,1700,Y,230,1909
2130 W Division St APT 2W,,Sold,Condo,470000,07/24/20,3,2,1600,Y,203,2005
1641 W North Ave APT 2E,,Sold,Condo,390000,05/16/19,2,2,1400,Y,170,2000
1725 W North Ave SUITE 309,,Sold,Condo,475000,10/09/18,2,2,1800,Y,518,1939
1400 N Milwaukee Ave APT 205,,Sold,Condo,470000,08/25/20,3,2,1400,Y,501,2017
1304 N. Hoyne #3,,Sold,Condo,630000,07/31/19,2,2,1350,N,180,1887
1214 N Wood St #201,,Sold,Condo,856000,08/15/18,3,2,2200,N,N/A,Data
None,,,Contact manager,N/A,N/A,3,3,,"Pets:Cats, small dogs",1,ment
1705 W Le Moyne St APT A,,Sold,Townhouse,587500,06/26/18,2,4,,Y,858,1998
1341 N Bell Ave,,Sold,Single Family,1480000,05/12/19,5,4,4191,Y,N/A,2011
2114 W Potomac Ave #1,,Sold,Condo,477000,06/18/18,2,1,,N,N/A,1910
1419 N Wood St #2,,Sold,Condo,550000,07/05/18,3,3,No Data,Y,170,2001
2301 W North Ave #3F,,Sold,Condo,385000,09/27/19,2,2,1100,N,172,1920
1547 N Leavitt St APT 2S,,Sold,Condo,631000,05/17/18,3,2,No Data,Y,240,2018
1300 N Claremont Ave #1W,,Sold,Condo,850000,08/25/20,4,3,3200,Y,260,2020
1259 N Wood St APT 304,,Sold,Condo,450000,05/05/19,2,2,1250,N,324,1909
1229 N Paulina St #1,,Sold,Condo,605500,06/19/20,3,3,,Y,N/A,2005
1944 W Crystal St #2,,Sold,Condo,1000000,08/03/20,4,3,2550,Y,266,2016
1213 N Honore St UNIT 2,,Sold,Condo,353500,06/30/20,2,1,1150,Y,150,1997
1525 N Wicker Park Ave,,Sold,Condo,487000,02/18/19,,--,,N,N/A,1902
1259 N Wood St APT 205,,Sold,Condo,385000,03/17/19,2,1.,,Y,324,2011
2020 W Pierce Ave APT 4,,Sold,Multi Family,420000,11/16/18,3,3,,Y,284,2002
1512 N Hoyne Ave,,Sold,Single Family,1650000,08/17/20,4,4,4635,Y,N/A,1887
1214 N Wolcott Ave APT 2F,,Sold,Apartment,1775,07/09/18,2,1,,N,N/A,1925
1719 W Ellen St #1S,,Sold,Multi Family,300000,07/21/19,2,2,,Y,125,2014
2154 W Division St APT 402,,Sold,Condo,732000,06/12/19,3,2,No Data,Y,448,2005
1214 N Marion Ct APT C,,Sold,Townhouse,809500,04/14/20,3,4,3353,Y,N/A,1999
1316 N Wicker Park Ave APT 1,,Sold,Condo,525000,06/30/20,3,3,1100,Y,150,2006
1353 N Western Ave,,Sold,N/A,760000,06/20/19,,N/A,N/A,N/A,N/A,N/A
1640 W Division St,,Sold,N/A,2854500,05/06/19,,N/A,N/A,N/A,N/A,N/A
1904 W Division St,,Sold,Condo,675000,04/16/19,,--,,N,N/A,Data
1400 N Milwaukee Ave #AVE40,,Sold,Condo,366000,01/01/19,2,2,1100,Y,418,1886
1404 N Paulina St #4,,Sold,Condo,530000,01/07/19,3,3,1950,N,270,2011
2143 W Crystal St #3,,Sold,Condo,459000,12/29/19,2,2,No Data,Y,148,2003
1526 N Leavitt St #3,,Sold,Condo,730000,06/18/20,2,2,No Data,Y,175,2020
1725 W Ellen St APT 2R,,Sold,Condo,254000,03/30/20,1,1,No Data,Y,79,1899
1544 N Hoyne Ave APT 3,,Sold,Condo,513000,10/14/19,2,2,1600,Y,150,1998
None,,,Contact manager,N/A,N/A,3,2,,"Pets:Cats, small dogs",N/A,ment
1920 W Crystal St APT 1,,Sold,Condo,755000,05/12/19,,--,,N,N/A,Data
2041 W Pierce Ave APT 2B,,Sold,Condo,500000,01/30/19,3,2,No Data,Y,200,2001
1625 W North Ave APT 202,,Sold,Condo,485000,03/13/20,3,2,1650,Y,292,2006
2124 W Division St APT 5,,Sold,Condo,640500,08/07/19,3,3,No Data,Y,270,2000
"2124 W Division St APT 4, Park Ridge, IL ",,Sold,Condo,500000,08/10/20,2,3,1400,Y,220,1994
1719 W Ellen St #1N,,Sold,Condo,209000,07/26/18,1,1,,N,100,1889
2119 W Evergreen Ave APT 1NW,,Sold,Condo,441000,06/16/19,2,2,1500,Y,250,1997
1550 N Hoyne Ave APT 1A,,Sold,Condo,400000,09/05/18,2,3,1650,Y,232,1999
1617 W Beach Ave,,Sold,Condo,859000,04/13/20,,--,,N,N/A,Data
1400 N Milwaukee Ave APT 301,,Sold,Condo,252000,07/04/19,1,1,No Data,N,298,1886
2223 W North Ave,,Sold,Condo,305000,04/08/19,1,1,,N,247,1896
2041 W Pierce Ave APT 2B,,Sold,Condo,500000,02/10/19,,--,,N,200,2000
1242 N Wood St APT 1,,Sold,Condo,176000,07/18/18,,--,,N,N/A,1888
1311 N Wicker Park Ave #3,,Sold,Condo,810000,02/05/19,,--,,N,N/A,Data
1818 W Ellen St APT 3,,Sold,Apartment,354500,08/20/19,3,2,,Y,175,1994
1742 W Division St,,Sold,Apartment,1275000,11/07/19,2,2,,N,N/A,1903
1272 N Marion Ct,,Sold,Single Family,1250000,08/08/20,4,4,3800,Y,N/A,2000
1725 W Pierce Ave #1,,Sold,Condo,641000,06/19/18,3,2.,,N,150,2005
1367 N Hoyne Ave #3,,Sold,Condo,635000,11/14/18,3,2,2000,Y,355,1899
2147 W Evergreen Ave UNIT 103,,Sold,Apartment,3050,05/31/18,2,2,,Y,N/A,2008
1742 W Beach Ave #2,,Sold,Condo,700000,06/23/20,3,3,No Data,Y,170,2005
1909 W Schiller St #2W,,Sold,Condo,1093000,07/13/20,3,3,2300,Y,323,2020
1378 N Wolcott Ave APT 2E,,Sold,Condo,425000,07/19/18,2,2,,Y,231,1881
1850 W Division St APT 2C,,Sold,Condo,595000,04/14/20,2,2,1600,Y,344,2003
1850 W Division St #P11,,Sold,Single Family,595000,04/14/20,,--,,N,3,2001
1849 W North Ave UNIT 10,,Sold,Condo,420000,08/20/20,2,2,1250,Y,260,1999
2041 W Pierce Ave APT 2B,,Sold,Single Family,500000,02/10/19,2,2.,,N,200,2002
1259 N Wood St APT 203,,Sold,Condo,390000,01/11/19,2,2,No Data,Y,240,Data
1215 N Honore St APT 3,,Sold,Multi Family,350000,03/06/19,2,1,,Y,88,1996
1354 N Bell Ave,,Sold,Single Family,1240000,08/19/18,5,5,4200,Y,N/A,2017
1219 N Cleaver #2,,Sold,Condo,870000,07/06/18,4,3,3000,Y,250,2015
1526 N Leavitt St,,Sold,N/A,710000,04/28/19,3,N/A,N/A,N/A,N/A,N/A
1515 N Claremont Ave #3,,Sold,Condo,485000,06/18/19,2,2,1200,Y,149,2008
1622 W Julian St #2,,Sold,Condo,755000,06/18/20,2,3,2040,Y,240,2012
1270 N Wood St #1,,Sold,Condo,477000,12/16/19,3,3,2000,Y,240,1997
1846 W Division St APT 401,,Sold,Multi Family,3964,05/09/19,3,2,,Y,N/A,2012
2036 W Le Moyne St #B,,Sold,Townhouse,580000,07/08/19,3,3,2150,Y,100,2002
1302 N Wood St UNIT 1E,,Sold,Condo,652500,03/02/20,3,3,2400,Y,209,2007
1365 N Hoyne Ave,,Sold,Condo,635000,11/20/18,,--,,N,355,1896
1327 N Wolcott Ave #101,,Sold,Condo,855000,05/29/20,3,3,2401,Y,337,2015
None,,,Condo,N/A,"$616,964",3,3,1900,Y,217,2004
1747 W North Ave #3,,Sold,Condo,220000,11/25/19,,--,,N,N/A,Data
1718 W Pierce Ave APT 2R,,Sold,Apartment,1900,09/01/18,1,1,,Y,N/A,1885
2112 W Le Moyne St,,Sold,Multi Family,1090000,09/27/18,6,3,No Data,Y,N/A,1906
1928 W Potomac Ave #2,,Sold,Condo,510000,12/14/18,2,2,No Data,Y,182,2015
1300 N Claremont Ave #4E,,Sold,Condo,825000,08/14/20,3,2,No Data,Y,158,2020
1850 W Division St APT 4C,,Sold,Condo,700000,02/05/20,2,2,1800,Y,470,2001
2031 W Pierce Ave APT 3B,,Sold,Condo,500000,09/13/18,2,2,1300,Y,250,2002
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1612 W Beach Ave APT 2,,Sold,Multiple Occupancy,2150000,12/26/18,1,1,,N,N/A,1891
1528 N Paulina St,,Sold,Multiple Occupancy,399900,04/19/20,2,2,,N,N/A,1920
1267 N Honore St APT 3,,Sold,Condo,359000,06/24/18,2,1.,,N,140,1997
1750 W Division St APT 402,,Sold,Condo,694000,12/17/19,3,3,No Data,N,250,2007
1540 N Claremont Ave APT 1E,,Sold,Condo,428500,02/12/20,3,3,1800,Y,225,2004
1627 W Le Moyne St #2E,,Sold,Condo,380000,06/20/19,2,2,No Data,Y,120,1998
1333 N Wolcott Ave #1,,Sold,Condo,580000,11/13/19,3,3,2200,Y,232,2005
2040 W Le Moyne St APT B,,Sold,Townhouse,640000,06/22/20,3,3,2250,Y,643,2001
1214 N Wolcott Ave APT 1R,,Sold,Apartment,1625,07/13/18,1,1,,N,N/A,Data
1378 N Wolcott Ave APT 2E,,Sold,Condo,425000,06/27/18,2,2,,N,276,Data
1351 N Damen Ave #3,,Sold,Condo,760000,12/12/19,3,3,1825,N,186,1885
1347 N Western Ave #1,,Sold,Condo,376000,11/24/19,3,3,2200,Y,225,2016
1270 N Wood St #A,,Sold,Condo,477000,01/02/20,2,2.,,Y,240,1995
2118 W Schiller St,,Sold,Townhouse,575000,06/26/19,3,2.,,N,N/A,2014
1641 W North Ave APT 2W,,Sold,Condo,379000,11/16/18,2,2,1450,Y,170,2001
1725 W North Ave APT 203,,Sold,Condo,293000,05/31/18,1,1,No Data,N,282,1917
2223 W North Ave,,Sold,Condo,300000,10/23/18,1,1,No Data,N,270,1896
1526 N Elk Grove Ave,,Sold,Single Family,1600000,04/25/19,6,6,5000,Y,N/A,2008
1452 N Leavitt St #1,,Sold,Condo,845000,04/12/20,4,4,No Data,Y,225,2020
1629 W Le Moyne St #2W,,Sold,Condo,380000,07/24/18,2,2,No Data,N,120,1998
1718 W Le Moyne St #1,,Sold,Condo,630000,08/26/20,3,3,2200,Y,235,2011
1534 N Wood St #3,,Sold,Condo,670000,09/05/18,2,2.,,N,130,2008
1627 W Pierce Ave #2,,Sold,Multiple Occupancy,815000,08/22/19,3,3,2300,N,N/A,2016
2011 W Potomac Ave,,Sold,Single Family,1010000,12/04/19,4,4,3000,Y,N/A,1996
2115 W Crystal St APT 2,,Sold,Condo,419000,05/23/18,2,2,1250,N,135,2004
1320 N Wolcott Ave APT 1,,Sold,Condo,407000,02/07/19,4,4,2800,Y,200,2004
1346 N Claremont Ave APT 3S,,Sold,Condo,584000,02/27/20,2,2,No Data,Y,159,2019
1742 W Crystal St,,Sold,Single Family,590000,07/28/19,2,3,No Data,N,N/A,2011
1718 W Julian St #1S,,Sold,Condo,645000,09/30/19,3,3,1500,N,271,2018
1316 N Oakley Blvd,,Sold,Condo,342500,10/23/19,2,1,1031,N,116,1918
1849 W North Ave UNIT 7,,Sold,Apartment,415000,08/13/20,2,2,,Y,261,1999
1441 N Wicker Park Ave UNIT 1S,,Sold,Condo,406000,08/22/19,2,2,No Data,Y,207,2004
822 N Marshfield Ave #1N,,Sold,Condo,742500,05/31/20,4,3,2640,Y,300,2017
1351 N Damen Ave #1,,Sold,Condo,772000,12/04/19,3,3,2300,N,235,1885
1641 W North Ave APT 2W,,Sold,Multiple Occupancy,386000,11/22/18,2,2,,Y,N/A,2001
1725 W North Ave SUITE 203,,Sold,Single Family,293000,06/05/18,,--,,N,39,1919
2024 W Le Moyne St UNIT 2W,,Sold,Condo,685000,07/23/20,3,2,No Data,Y,189,2017
1534 N Honore St #3,,Sold,Condo,680000,04/23/20,2,2,No Data,Y,N/A,2020
1750 W Division St #G-4,,Sold,Condo,694000,12/25/19,,--,,N,N/A,2005
1640 W Division St,,Sold,Vacant Land,2854500,05/06/19,,N/A,N/A,N,N/A,Data
1530 N Elk Grove Ave APT J,,Sold,Townhouse,620000,04/07/20,3,3,1785,Y,700,1996
2118 W Schiller St #2,,Sold,Condo,529000,02/23/20,3,2,1600,Y,183,1894
1509 N Paulina St,,Sold,Single Family,710000,05/27/19,3,3,2576,Y,N/A,1991
1751 W Julian St,,Sold,Townhouse,485500,05/23/19,2,2,1600,Y,N/A,1993
1425 N Leavitt St #1,,Sold,Condo,720000,12/17/18,4,3,2800,Y,215,2014
1222 N Wolcott Ave APT 4S,,Sold,Condo,490000,07/10/18,2,2,1350,N,225,1999
2140 W Potomac Ave #3,,Sold,Condo,435000,06/11/18,2,2,,N,N/A,1891
1438 N Milwaukee Ave #42,,Sold,Vacant Land,3850000,12/12/19,0,N/A,N/A,N,N/A,Data
2118 W Schiller St APT 1,,Sold,Condo,500000,06/17/19,3,2,1600,Y,192,1897
None,,,Single Family,N/A,",191,273",4,4,4000,N,N/A,1890
1542 N Leavitt St,,Sold,Single Family,1199000,08/29/19,5,4,3750,Y,N/A,1888
1259 N Wood St APT 403,,Sold,Condo,415000,04/28/19,2,2,1100,Y,240,1909
1249 N Wolcott Ave UNIT 1,,Sold,Condo,525000,07/30/18,3,3,2000,Y,242,2003
1734 W Le Moyne St #1,,Sold,Condo,575000,08/20/18,3,3,2000,N,150,2006
2154 W Division St APT 401,,Sold,Condo,805000,07/10/19,3,2,,N,367,2007
1553 N Bell Ave APT 3F,,Sold,Condo,330000,08/13/19,2,1,1175,Y,318,Data
1350 N Leavitt St APT 2,,Sold,Condo,395000,04/30/20,2,2,1000,Y,130,1891
1342 N Claremont Ave APT 3F,,Sold,Condo,280000,08/23/20,2,2,1100,Y,265,2011
1349 N Leavitt St #1A,,Sold,Condo,510000,07/07/19,3,3,1675,Y,150,2016
1751 W Julian St APT 1A,,Sold,Townhouse,388500,07/26/20,2,2,1190,N,435,1993
1750 W Julian St APT 4,,Sold,Townhouse,510000,08/09/20,3,3,1872,Y,N/A,1993
1618 W Beach Ave,,Sold,Single Family,718000,01/26/20,3,4,2400,Y,N/A,1989
1302 N Wood St UNIT 1,,Sold,Condo,652500,03/04/20,3,3,,Y,N/A,2006
2020 W Pierce Ave APT 5,,Sold,Condo,510000,07/06/20,3,2,1450,Y,309,2002
1720 W Le Moyne St #201,,Sold,Condo,675000,01/15/19,3,3,1921,Y,200,2005
1215 N Honore St APT 2,,Sold,Condo,347500,06/10/18,2,1,,N,88,1996
1751 W Julian St APT 5,,Sold,Townhouse,485500,05/15/19,2,2,No Data,Y,N/A,1993
2024 W Le Moyne St #1E,,Sold,Condo,995000,04/18/19,4,4,No Data,N,296,2018
1217 N Hoyne Ave APT E,,Sold,Townhouse,610000,12/05/19,3,3,2200,N,N/A,2004
1271 N Marion Ct,,Sold,Townhouse,675000,07/08/18,3,3,2400,Y,1269,2000
1259 N Wood St APT 308,,Sold,Condo,505000,07/30/20,2,2,1300,Y,358,1909
2127 W Pierce Ave,,Sold,Condo,330000,12/04/19,2,1,1100,Y,423,2015
1641 W Julian St #2,,Sold,Condo,625000,05/05/19,3,3,2200,Y,200,2000
1238 N Hoyne Ave #1,,Sold,Condo,1550000,04/25/19,4,4,2710,N,399,2011
None,,,Condo,N/A,"$646,295",3,3,2000,Y,266,Data
1311 N Wicker Park Ave #3,,Sold,Condo,810000,02/04/19,3,2.,,Y,250,2017
None,,,Condo,N/A,"$620,151",3,3,2100,Y,222,2014
1212 N Hoyne Ave SUITE 102,,Sold,Condo,725000,02/27/20,3,2,No Data,Y,440,2003
1372 N Wolcott Ave,,Sold,Multiple Occupancy,622200,02/02/20,4,2,1000,Y,N/A,Data
1225 N Paulina St #1S,,Sold,Condo,725000,07/30/20,3,3,2800,Y,255,2004
2031 W Pierce Ave APT 1B,,Sold,Condo,520000,08/27/20,2,3,1600,Y,250,2000
2144 W Schiller St UNIT F,,Sold,Condo,422000,09/02/19,2,2,1200,N,245,2006
1850 W Division St APT 3A,,Sold,Condo,485000,06/18/18,,--,,N,N/A,2001
2026 W Pierce Ave #4,,Sold,Condo,428000,07/23/19,2,2,1400,Y,202,2001
2124 W Pierce Ave,,Sold,Single Family,2737500,06/14/18,4,5,7039,Y,N/A,1874
1806 W Division St,,Sold,Apartment,5100000,06/20/18,1,1,,N,N/A,2016
1714 W Le Moyne St UNIT 2W,,Sold,Single Family,415000,08/29/18,2,3,No Data,N,N/A,1998
1358 N Wolcott Ave #B,,Sold,Single Family,790000,12/25/18,2,1.,,N,N/A,1992
1723 W Le Moyne St #201,,Sold,Condo,785000,08/03/20,3,3,2000,Y,150,2008
1747 W North Ave #C,,Sold,Single Family,220000,11/24/19,,1,1200,N,N/A,Data
1904 W Division St #3S,,Sold,Condo,755000,09/05/19,,--,,N,384,Data
1917 W Potomac Ave #2,,Sold,Condo,397000,03/28/19,2,2,1200,N,118,2005
1525 N Wicker Park Ave APT 2,,Sold,Condo,487000,02/18/19,3,2,1700,Y,311,1902
2301 W North Ave APT 2F,,Sold,Condo,385000,09/25/19,2,2,No Data,N,204,1920
2136 W Schiller St APT 1F,,Sold,Condo,400000,04/30/19,2,2,No Data,Y,163,1998
2245 W North Ave APT 303,,Sold,Condo,480000,06/26/19,2,2,,Y,232,2002
1945 W Evergreen Ave APT GR,,Sold,Condo,344000,03/04/20,2,2,1500,Y,226,Data
1420 N Bell Ave,,Sold,Single Family,865000,07/25/19,4,3,3400,Y,N/A,1975
1351 N Damen Ave,,Sold,Multiple Occupancy,600000,03/17/20,1,4,No Data,N,N/A,1885
2301 W North Ave,,Sold,Condo,775000,10/06/19,,--,,N,396,1876
2042 W Crystal,,Sold,Multiple Occupancy,1400000,07/25/19,5,5,3224,N,N/A,Data
2154 W Division St APT 402,,Sold,Condo,732000,06/12/19,,--,,N,448,2005
1212 N Hoyne Ave SUITE 201,,Sold,Condo,443000,08/11/19,2,2,1100,Y,238,2002
2039 W Crystal St #3,,Sold,Condo,565000,07/05/18,3,3,1100,Y,179,1998
1656 W Blackhawk St APT 1W,,Sold,Condo,465000,08/11/19,2,3,1500,N,200,1997
1554 N Hoyne Ave #1,,Sold,Apartment,2100,09/21/18,2,1,,Y,N/A,1885
2209 W North Ave,,Sold,Other,1105000,10/22/18,6,7,6720,Y,N/A,2002
1920 W Crystal St APT 1,,Sold,Condo,755000,04/25/19,4,3,2700,N,294,2000
2039 W Potomac Ave,,Sold,Single Family,1690000,07/05/18,5,4,3900,Y,N/A,1889
1528 N Paulina St APT B,,Sold,Condo,325000,08/31/20,2,1,942,N,236,1876
2144 W Schiller St UNIT C,,Sold,Condo,542500,07/15/20,3,2,1800,Y,313,2004
1342 N Dean St APT 2,,Sold,Condo,317000,10/18/18,2,1,1100,N,116,1997
2119 W Evergreen Ave APT 3W,,Sold,Condo,485000,08/06/18,2,2,,Y,250,1997
1528 N Paulina St,,Sold,Condo,400000,05/07/20,3,2,,N,433,1920
1656 W Blackhawk St #A,,Sold,Condo,465000,08/26/19,2,3,1500,Y,200,1997
1754 W Division St #2,,Sold,Condo,565000,12/25/18,3,2,2200,Y,240,2002
1555 N Wood St UNIT 303,,Sold,Condo,587000,07/22/18,3,2,1750,Y,352,2004
None,,,Contact manager,N/A,N/A,3,2,,"Pets:Cats, Small Dogs, Dogs",N/A,ment
1547 N Leavitt St APT 3S,,Sold,Condo,685000,08/18/19,3,3,2100,Y,345,2001
1502 N Wood St #1,,Sold,Condo,655000,08/21/18,4,3,,N,N/A,2002
1326 N Leavitt St,,Sold,Single Family,1400000,05/22/18,4,5,4500,Y,N/A,2003
None,,,Condo,N/A,"$601,128",3,2,1500,N,310,2016
1644 W Blackhawk St APT 1E,,Sold,Condo,478000,03/17/20,2,2,1400,Y,200,2007
2142 W Division St APT 3,,Sold,Condo,505000,10/08/18,3,2,,Y,203,2004
1249 N Wolcott Ave UNIT 3,,Sold,Condo,610000,07/19/18,3,3,2000,Y,272,2003
1233 N Paulina St #3N,,Sold,Condo,1025000,08/12/20,3,3,No Data,Y,200,2020
2239 W North Ave APT 3B,,Sold,Condo,467000,12/02/19,2,2,,Y,230,2004
2020 W Pierce Ave UNIT 2,,Sold,Condo,545000,04/30/19,3,3,1700,Y,310,2002
1214 N Wood St #201,,Sold,Condo,856000,08/15/18,,--,,N,270,Data
1927 W Potomac Ave #1E,,Sold,Multiple Occupancy,615000,07/07/19,3,3,No Data,N,N/A,2008
1327 N Bell Ave,,Sold,Single Family,692500,01/09/19,3,3,2200,Y,N/A,1992
1428 N Bell Ave,,Sold,Single Family,646000,09/04/19,4,2,2000,N,N/A,Data
2013 W Evergreen Ave #1,,Sold,Condo,559000,09/30/18,,--,,N,338,1903
1641 W North Ave APT 2E,,Sold,Condo,390000,05/21/19,2,2,,N,170,2000
1904 W Division St #3S,,Sold,Condo,755000,09/02/19,3,2,1800,Y,402,2017
1429 N Paulina St APT B,,Sold,Condo,510000,12/12/19,,--,,N,130,1996
1243 N Paulina St #1N,,Sold,Condo,500000,11/21/19,3,3,2100,N,236,2001
1410 N Hoyne Ave #2A,,Sold,Condo,425000,05/28/18,2,2,1237,Y,153,2015
1373 N Milwaukee Ave #2,,Sold,Condo,630000,02/28/19,,--,,N,N/A,Data
1915 W Crystal St #2,,Sold,Condo,464000,03/02/20,2,2,1256,Y,96,2007
1267 N Honore St APT 2,,Sold,Condo,309000,01/07/19,2,2,1200,Y,140,1997
1321 N Oakley Blvd,,Sold,Multiple Occupancy,668000,07/04/19,6,2,No Data,N,N/A,1896
1350 N Claremont Ave #1,,Sold,Condo,662400,10/06/19,3,3,No Data,N,219,2019
1337 N Wicker Park Ave,,Sold,Multiple Occupancy,490000,06/24/20,3,2,2000,N,N/A,1900
2157 W Potomac Ave #2,,Sold,Condo,515000,04/09/20,2,2,No Data,Y,125,2007
1235 N Honore St #1E,,Sold,Condo,687500,05/01/19,3,3,26600,Y,385,1956
1222 N Marion Ct APT G,,Sold,Townhouse,730000,10/22/19,3,3.,2988,Y,1460,1999
1397 N Milwaukee Ave,,Sold,Condo,465000,04/21/19,,--,,N,N/A,2003
1346 N Claremont Ave #1N,,Sold,Condo,674900,04/11/19,4,3,No Data,N,185,2019
1909 W North Ave APT 2,,Sold,Condo,447500,08/08/19,2,2,1650,Y,150,2005
1850 W Division St #P1,,Sold,Single Family,555000,07/08/20,2,--,,Y,30,2001
1338 N Leavitt St,,Sold,Single Family,719000,05/23/18,4,3,2000,Y,N/A,1885
2150 W Division St #3,,Sold,Condo,485000,07/25/18,3,2,No Data,N,124,1998
1425 N Leavitt St #3,,Sold,Apartment,600000,01/28/20,2,2,,N,N/A,Data
2024 W Le Moyne St #2E,,Sold,Condo,650000,01/09/20,3,2,1750,N,189,2017
1920 W Crystal St APT 3,,Sold,Condo,545000,05/17/19,2,2,1500,N,193,1993
2018 W Le Moyne St UNIT 1W,,Sold,Condo,1050000,10/15/18,,--,,N,N/A,Data
1212 N Hoyne Ave SUITE 102,,Sold,Condo,725000,03/05/20,,--,,N,N/A,2001
1725 W North Ave SUITE 309,,Sold,Single Family,475000,10/09/18,,--,,N,39,1919
2157 W Potomac Ave #2,,Sold,Condo,500000,10/22/18,2,2,1400,N,145,2007
1634 W Beach Ave #2,,Sold,Condo,660000,08/30/18,3,3,No Data,N,150,2008
1928 W Evergreen Ave #2,,Sold,Condo,466500,06/24/18,2,2,1400,Y,173,2000
1630 W Julian St #3,,Sold,Condo,586500,06/13/19,3,3,No Data,Y,258,2006
1625 W North Ave APT 201,,Sold,Condo,525000,08/09/20,3,2,1320,Y,334,2004
1354 N Wolcott Ave #A,,Sold,Condo,750000,12/15/19,3,3,2700,Y,80,1994
1915 W Crystal St #1,,Sold,Condo,715000,05/28/19,3,3,2300,Y,136,2007
1947 W Schiller St #B,,Sold,Apartment,650000,09/11/19,3,2.,,N,N/A,1870
1441 N Elk Grove Ave APT 2S,,Sold,Condo,280000,11/15/18,2,1,,Y,100,1895
2122 W Crystal St #2E,,Sold,Condo,674000,01/21/20,3,2,No Data,N,150,2019
1850 W Division St APT 3B,,Sold,Condo,555000,06/28/20,2,2,1500,Y,297,2003
1725 W North Ave APT 208,,Sold,Condo,393500,02/07/19,2,2,1300,Y,396,1929
2122 W Crystal St #2W,,Sold,Condo,665000,02/12/20,3,2,No Data,N,150,2019
1705 W Le Moyne St APT A,,Sold,Single Family,542500,02/25/20,2,2.,,Y,858,1998
1520 N Leavitt St #2,,Sold,Condo,447500,06/29/18,2,2,1450,Y,150,1999
1222 N Wolcott Ave APT 3N,,Sold,Condo,500000,04/02/20,2,2,1300,Y,200,1999
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2223 W North Ave,,Sold,Multiple Occupancy,330000,09/02/19,2,1,,Y,N/A,1896
1358 N Wolcott Ave #B,,Sold,Condo,790000,12/20/18,3,3,2875,N,74,1992
